Date:  17:39, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
329  ,1.130e+02   ,409.75  ,861.12  ,1303.7
330  ,3.250e+02   ,403.9  ,856.12  ,1303.7
331  ,7.578e+03   ,387.66  ,907.64  ,1303.7
332  ,9.491e+01   ,400.3  ,882.78  ,1275.9
333  ,1.074e+02   ,400  ,883.74  ,1275.9
334  ,1.258e+02   ,396.49  ,881.58  ,1276.8
335  ,3.928e+02   ,396.49  ,881.58  ,1288.7
336  ,2.170e+02   ,396.19  ,882.53  ,1276.8
337  ,3.427e+02   ,396.19  ,882.53  ,1288.7
338  ,1.496e+02   ,393.63  ,881.73  ,1277.5
339  ,9.844e+01   ,393.93  ,880.77  ,1277.5
340  ,3.698e+06   ,447.71  ,911.84  ,1282
341  ,4.369e+06   ,451.98  ,911.84  ,1282
342  ,7.061e+06   ,451.4  ,928.88  ,1290.6
343  ,2.447e+06   ,448.28  ,928.88  ,1290.6
344  ,3.579e+05   ,425.71  ,911.84  ,1282
345  ,9.462e+05   ,429.98  ,911.84  ,1282
346  ,1.344e+05   ,429.4  ,928.88  ,1290.6
347  ,2.756e+05   ,426.28  ,928.88  ,1290.6
348  ,1.494e+05   ,403.71  ,911.84  ,1282
349  ,4.043e+05   ,407.98  ,911.84  ,1282
350  ,1.926e+05   ,407.4  ,928.88  ,1290.6
351  ,3.975e+05   ,404.28  ,928.88  ,1290.6
352  ,7.186e+01   ,400  ,883.74  ,1286.9
353  ,8.294e+01   ,400.3  ,882.78  ,1286.9
354  ,3.423e+04   ,820.98  ,925.08  ,1283.4
355  ,3.003e+04   ,820.29  ,924.56  ,1282.9
356  ,7.457e+04   ,821.02  ,925.22  ,1288.3
357  ,1.558e+05   ,812.39  ,918.78  ,1282.9
358  ,3.289e+04   ,818.41  ,927.13  ,1282.9
359  ,4.150e+04   ,819.11  ,927.63  ,1283.4
360  ,1.588e+05   ,810.52  ,921.34  ,1282.9
361  ,7.918e+04   ,819.25  ,927.63  ,1288.3
362  ,1.407e+05   ,798.37  ,928.43  ,1283.4
363  ,1.185e+05   ,798.38  ,927.93  ,1282.9
364  ,3.508e+05   ,798.25  ,928.43  ,1290.4
365  ,5.709e+04   ,798.38  ,913.58  ,1282.9
366  ,4.402e+04   ,822.56  ,928.7  ,1290
367  ,3.921e+04   ,823.04  ,928.05  ,1290
368  ,5.589e+04   ,819.64  ,928.7  ,1288.8
369  ,1.360e+05   ,808.8  ,920.76  ,1282
370  ,1.532e+05   ,811.32  ,917.31  ,1282
371  ,3.771e+04   ,822.16  ,925.26  ,1288.8
372  ,1.875e+06   ,751.21  ,927.93  ,1282.9
373  ,2.119e+06   ,751.21  ,928.43  ,1283.4
374  ,3.893e+06   ,751.21  ,913.58  ,1282.9
375  ,5.605e+06   ,751.34  ,928.43  ,1290.4
376  ,2.157e+05   ,773.21  ,927.93  ,1282.9
377  ,1.930e+05   ,773.21  ,928.43  ,1283.4
378  ,8.439e+05   ,773.21  ,913.58  ,1282.9
379  ,1.078e+05   ,773.34  ,928.43  ,1290.4
380  ,1.470e+06   ,754.37  ,928.43  ,1283.4
381  ,1.326e+06   ,754.38  ,927.93  ,1282.9
382  ,2.629e+06   ,754.25  ,928.43  ,1290.4
383  ,3.692e+06   ,754.38  ,913.58  ,1282.9
384  ,1.016e+05   ,795.21  ,927.93  ,1282.9
385  ,9.512e+04   ,795.21  ,928.43  ,1283.4
386  ,2.648e+05   ,795.21  ,913.58  ,1282.9
387  ,1.374e+05   ,795.34  ,928.43  ,1290.4
388  ,7.081e+04   ,776.37  ,928.43  ,1283.4
389  ,7.201e+04   ,776.38  ,927.93  ,1282.9
390  ,3.034e+05   ,776.25  ,928.43  ,1290.4
391  ,5.104e+05   ,776.38  ,913.58  ,1282.9
392  ,1.317e+06   ,758.79  ,903.82  ,1281.9
393  ,1.373e+06   ,754.29  ,898.01  ,1281.9
394  ,1.325e+05   ,799.38  ,927.93  ,1281.9
395  ,1.764e+05   ,799.38  ,911.39  ,1281.9
396  ,3.301e+05   ,794.21  ,911.39  ,1281.9
397  ,1.136e+05   ,794.21  ,927.93  ,1281.9
398  ,1.093e+05   ,777.38  ,927.93  ,1281.9
399  ,4.102e+05   ,777.38  ,911.39  ,1281.9
400  ,7.640e+05   ,772.21  ,911.39  ,1281.9
401  ,2.024e+05   ,772.21  ,927.93  ,1281.9
402  ,1.157e+06   ,755.38  ,927.93  ,1281.9
403  ,3.324e+06   ,755.38  ,911.39  ,1281.9
404  ,3.675e+06   ,750.21  ,911.39  ,1281.9
405  ,2.407e+06   ,750.21  ,927.93  ,1281.9
406  ,1.661e+07   ,744.93  ,927.93  ,1281.9
407  ,8.180e+06   ,745.33  ,926.43  ,1281.9
408  ,3.621e+04   ,745.33  ,898.9  ,1281.9
409  ,4.457e+04   ,747.33  ,896.9  ,1281.9
410  ,5.560e+05   ,754.59  ,896.9  ,1281.9
411  ,1.526e+05   ,810.99  ,913.25  ,1281.9
412  ,3.566e+04   ,816.79  ,910.8  ,1281.9
413  ,2.417e+04   ,820.88  ,923.76  ,1281.9
414  ,1.399e+05   ,811.23  ,916.68  ,1281.9
415  ,1.237e+05   ,808.16  ,920.85  ,1281.9
416  ,3.681e+04   ,817.82  ,927.93  ,1281.9
417  ,6.350e+04   ,818.69  ,929.43  ,1289.5
418  ,3.971e+04   ,818.52  ,929.43  ,1283.4
419  ,4.242e+04   ,822.2  ,929.43  ,1290.9
420  ,6.924e+06   ,742.33  ,929.43  ,1283.4
421  ,3.577e+06   ,750.21  ,929.43  ,1283.4
422  ,4.516e+06   ,750.36  ,929.43  ,1291.5
423  ,2.120e+06   ,755.23  ,929.43  ,1291.5
424  ,1.235e+06   ,755.37  ,929.43  ,1283.4
425  ,1.662e+05   ,772.21  ,929.43  ,1283.4
426  ,2.335e+05   ,772.36  ,929.43  ,1291.5
427  ,8.554e+04   ,777.23  ,929.43  ,1291.5
428  ,6.579e+04   ,777.37  ,929.43  ,1283.4
429  ,1.105e+05   ,794.21  ,929.43  ,1283.4
430  ,1.185e+05   ,794.36  ,929.43  ,1291.5
431  ,1.397e+05   ,799.23  ,929.43  ,1291.5
432  ,1.054e+05   ,799.37  ,929.43  ,1283.4
433  ,1.316e+05   ,611.32  ,927.79  ,1303.8
434  ,3.945e+04   ,611.32  ,927.57  ,1303.8
435  ,3.295e+05   ,612.82  ,929.34  ,1305
436  ,8.323e+04   ,612.82  ,927.79  ,1303.8
437  ,3.233e+04   ,612.82  ,927.57  ,1303.8
438  ,7.610e+05   ,628.32  ,921.8  ,1283.7
439  ,3.574e+06   ,628.32  ,926.93  ,1283.7
440  ,1.877e+06   ,628.39  ,927.54  ,1283.7
441  ,3.181e+06   ,626.82  ,927.79  ,1283.7
442  ,1.722e+06   ,626.82  ,927.79  ,1302.2
443  ,1.781e+06   ,619.32  ,928.76  ,1302.2
444  ,9.319e+05   ,619.32  ,928.76  ,1304.3
445  ,4.260e+06   ,626.82  ,925.07  ,1283.7
446  ,1.831e+06   ,626.82  ,925.07  ,1302.2
447  ,4.742e+05   ,619.32  ,925.07  ,1298.1
