Date:  17:47, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 2 – Side impact(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
302  ,1.126e+06   ,392.35  ,899.67  ,1298.1
303  ,2.256e+06   ,392.35  ,899.67  ,1302.2
304  ,1.999e+06   ,393.44  ,907.88  ,1302.2
305  ,2.433e+06   ,393.44  ,907.88  ,1283.7
306  ,2.740e+06   ,395.69  ,900.73  ,1302.2
307  ,3.510e+06   ,406.52  ,866.39  ,1302.2
308  ,1.757e+06   ,408.77  ,859.24  ,1302.2
309  ,1.112e+06   ,408.77  ,859.24  ,1283.7
310  ,3.512e+06   ,406.52  ,866.39  ,1303.7
311  ,3.109e+06   ,395.69  ,900.73  ,1303.7
312  ,1.713e+06   ,393.25  ,908.48  ,1283.7
313  ,1.823e+06   ,393.25  ,908.48  ,1283.2
314  ,1.522e+05   ,397.65  ,894.51  ,1275.7
315  ,2.070e+05   ,400.95  ,884.04  ,1275.7
316  ,1.480e+06   ,400.95  ,884.04  ,1300.8
317  ,1.479e+06   ,401.26  ,883.08  ,1300.8
318  ,2.296e+05   ,401.26  ,883.08  ,1275.7
319  ,3.480e+05   ,404.56  ,872.61  ,1275.7
320  ,7.342e+05   ,409.1  ,858.19  ,1283.5
321  ,3.992e+05   ,409.1  ,858.19  ,1283.7
322  ,6.331e+05   ,405.79  ,873.68  ,1275.4
323  ,1.417e+06   ,409.75  ,861.12  ,1282.1
324  ,4.554e+06   ,401.19  ,864.71  ,1303.7
325  ,3.357e+06   ,390.37  ,899.05  ,1303.7
326  ,3.553e+05   ,399.28  ,894.34  ,1275.4
327  ,1.473e+06   ,394.94  ,908.11  ,1282.8
328  ,6.544e+05   ,394.94  ,908.11  ,1303.7
329  ,1.274e+06   ,409.75  ,861.12  ,1303.7
330  ,6.386e+06   ,403.9  ,856.12  ,1303.7
331  ,4.145e+06   ,387.66  ,907.64  ,1303.7
332  ,1.224e+05   ,400.3  ,882.78  ,1275.9
333  ,1.167e+05   ,400  ,883.74  ,1275.9
334  ,5.007e+05   ,396.49  ,881.58  ,1276.8
335  ,9.759e+05   ,396.49  ,881.58  ,1288.7
336  ,6.526e+05   ,396.19  ,882.53  ,1276.8
337  ,8.217e+05   ,396.19  ,882.53  ,1288.7
338  ,3.118e+05   ,393.63  ,881.73  ,1277.5
339  ,3.786e+05   ,393.93  ,880.77  ,1277.5
340  ,1.429e+06   ,447.71  ,911.84  ,1282
341  ,2.025e+06   ,451.98  ,911.84  ,1282
342  ,1.072e+05   ,451.4  ,928.88  ,1290.6
343  ,5.039e+04   ,448.28  ,928.88  ,1290.6
344  ,1.219e+06   ,425.71  ,911.84  ,1282
345  ,1.418e+06   ,429.98  ,911.84  ,1282
346  ,2.500e+05   ,429.4  ,928.88  ,1290.6
347  ,1.952e+06   ,426.28  ,928.88  ,1290.6
348  ,1.855e+06   ,403.71  ,911.84  ,1282
349  ,1.669e+06   ,407.98  ,911.84  ,1282
350  ,2.820e+05   ,407.4  ,928.88  ,1290.6
351  ,4.503e+06   ,404.28  ,928.88  ,1290.6
352  ,3.703e+05   ,400  ,883.74  ,1286.9
353  ,1.981e+05   ,400.3  ,882.78  ,1286.9
354  ,5.413e+02   ,820.98  ,925.08  ,1283.4
355  ,4.731e+02   ,820.29  ,924.56  ,1282.9
356  ,1.213e+03   ,821.02  ,925.22  ,1288.3
357  ,8.470e+02   ,812.39  ,918.78  ,1282.9
358  ,5.234e+02   ,818.41  ,927.13  ,1282.9
359  ,6.330e+02   ,819.11  ,927.63  ,1283.4
360  ,1.886e+03   ,810.52  ,921.34  ,1282.9
361  ,1.284e+03   ,819.25  ,927.63  ,1288.3
362  ,6.112e+03   ,798.37  ,928.43  ,1283.4
363  ,6.161e+03   ,798.38  ,927.93  ,1282.9
364  ,4.059e+03   ,798.25  ,928.43  ,1290.4
365  ,7.591e+03   ,798.38  ,913.58  ,1282.9
366  ,6.358e+02   ,822.56  ,928.7  ,1290
367  ,5.711e+02   ,823.04  ,928.05  ,1290
368  ,7.855e+02   ,819.64  ,928.7  ,1288.8
369  ,1.467e+03   ,808.8  ,920.76  ,1282
370  ,5.221e+02   ,811.32  ,917.31  ,1282
371  ,6.261e+02   ,822.16  ,925.26  ,1288.8
372  ,1.245e+05   ,751.21  ,927.93  ,1282.9
373  ,1.141e+05   ,751.21  ,928.43  ,1283.4
374  ,1.960e+05   ,751.21  ,913.58  ,1282.9
375  ,1.203e+05   ,751.34  ,928.43  ,1290.4
376  ,4.329e+04   ,773.21  ,927.93  ,1282.9
377  ,4.974e+04   ,773.21  ,928.43  ,1283.4
378  ,1.225e+05   ,773.21  ,913.58  ,1282.9
379  ,2.276e+05   ,773.34  ,928.43  ,1290.4
380  ,6.528e+04   ,754.37  ,928.43  ,1283.4
381  ,5.535e+04   ,754.38  ,927.93  ,1282.9
382  ,2.725e+05   ,754.25  ,928.43  ,1290.4
383  ,3.728e+05   ,754.38  ,913.58  ,1282.9
384  ,6.421e+03   ,795.21  ,927.93  ,1282.9
385  ,7.033e+03   ,795.21  ,928.43  ,1283.4
386  ,2.439e+04   ,795.21  ,913.58  ,1282.9
387  ,3.382e+04   ,795.34  ,928.43  ,1290.4
388  ,3.476e+04   ,776.37  ,928.43  ,1283.4
389  ,4.148e+04   ,776.38  ,927.93  ,1282.9
390  ,1.454e+04   ,776.25  ,928.43  ,1290.4
391  ,1.188e+05   ,776.38  ,913.58  ,1282.9
392  ,5.303e+05   ,758.79  ,903.82  ,1281.9
393  ,2.198e+05   ,754.29  ,898.01  ,1281.9
394  ,4.440e+03   ,799.38  ,927.93  ,1281.9
395  ,8.030e+03   ,799.38  ,911.39  ,1281.9
396  ,2.492e+04   ,794.21  ,911.39  ,1281.9
397  ,7.800e+03   ,794.21  ,927.93  ,1281.9
398  ,2.185e+04   ,777.38  ,927.93  ,1281.9
399  ,5.628e+04   ,777.38  ,911.39  ,1281.9
400  ,8.213e+04   ,772.21  ,911.39  ,1281.9
401  ,3.922e+04   ,772.21  ,927.93  ,1281.9
402  ,4.127e+04   ,755.38  ,927.93  ,1281.9
403  ,2.924e+05   ,755.38  ,911.39  ,1281.9
404  ,4.529e+05   ,750.21  ,911.39  ,1281.9
405  ,9.828e+04   ,750.21  ,927.93  ,1281.9
406  ,9.640e+04   ,744.93  ,927.93  ,1281.9
407  ,8.542e+04   ,745.33  ,926.43  ,1281.9
