Date:  19:56, Sunday, May 10, 2026
Model name: assembly droit firxed for 10mm
Study name: Static 2 – Side impact (Left)(-Default-)
Plot type: Static nodal stress Stress1
Result Type: von Mises 


Node  ,Value (N/m^2)  ,X (mm)  ,Y (mm)  ,Z (mm)
348  ,5.926e+03   ,403.71  ,911.84  ,1282
349  ,3.139e+04   ,407.98  ,911.84  ,1282
350  ,4.961e+04   ,407.4  ,928.88  ,1290.6
351  ,6.184e+03   ,404.28  ,928.88  ,1290.6
352  ,3.107e+00   ,400  ,883.74  ,1286.9
353  ,2.458e+00   ,400.3  ,882.78  ,1286.9
354  ,9.396e+05   ,820.98  ,925.08  ,1283.4
355  ,1.180e+06   ,820.29  ,924.56  ,1282.9
356  ,1.609e+06   ,821.02  ,925.22  ,1288.3
357  ,1.234e+06   ,812.39  ,918.78  ,1282.9
358  ,6.090e+05   ,818.41  ,927.13  ,1282.9
359  ,7.155e+05   ,819.11  ,927.63  ,1283.4
360  ,5.382e+05   ,810.52  ,921.34  ,1282.9
361  ,4.123e+06   ,819.25  ,927.63  ,1288.3
362  ,7.907e+05   ,798.37  ,928.43  ,1283.4
363  ,6.313e+05   ,798.38  ,927.93  ,1282.9
364  ,3.781e+06   ,798.25  ,928.43  ,1290.4
365  ,9.846e+05   ,798.38  ,913.58  ,1282.9
366  ,2.190e+06   ,822.56  ,928.7  ,1290
367  ,2.440e+06   ,823.04  ,928.05  ,1290
368  ,2.817e+06   ,819.64  ,928.7  ,1288.8
369  ,3.087e+06   ,808.8  ,920.76  ,1282
370  ,3.280e+06   ,811.32  ,917.31  ,1282
371  ,5.401e+06   ,822.16  ,925.26  ,1288.8
372  ,2.689e+05   ,751.21  ,927.93  ,1282.9
373  ,2.607e+05   ,751.21  ,928.43  ,1283.4
374  ,1.353e+06   ,751.21  ,913.58  ,1282.9
375  ,1.021e+05   ,751.34  ,928.43  ,1290.4
376  ,4.783e+05   ,773.21  ,927.93  ,1282.9
377  ,5.449e+05   ,773.21  ,928.43  ,1283.4
378  ,1.591e+06   ,773.21  ,913.58  ,1282.9
379  ,1.204e+05   ,773.34  ,928.43  ,1290.4
380  ,1.617e+05   ,754.37  ,928.43  ,1283.4
381  ,1.373e+05   ,754.38  ,927.93  ,1282.9
382  ,7.545e+04   ,754.25  ,928.43  ,1290.4
383  ,1.452e+06   ,754.38  ,913.58  ,1282.9
384  ,9.016e+05   ,795.21  ,927.93  ,1282.9
385  ,1.053e+06   ,795.21  ,928.43  ,1283.4
386  ,1.446e+06   ,795.21  ,913.58  ,1282.9
387  ,3.302e+05   ,795.34  ,928.43  ,1290.4
388  ,5.925e+05   ,776.37  ,928.43  ,1283.4
389  ,5.440e+05   ,776.38  ,927.93  ,1282.9
390  ,1.786e+06   ,776.25  ,928.43  ,1290.4
391  ,6.690e+05   ,776.38  ,913.58  ,1282.9
392  ,3.282e+06   ,758.79  ,903.82  ,1281.9
393  ,1.679e+06   ,754.29  ,898.01  ,1281.9
394  ,1.312e+06   ,799.38  ,927.93  ,1281.9
395  ,2.442e+06   ,799.38  ,911.39  ,1281.9
396  ,1.820e+06   ,794.21  ,911.39  ,1281.9
397  ,1.628e+06   ,794.21  ,927.93  ,1281.9
398  ,9.236e+05   ,777.38  ,927.93  ,1281.9
399  ,1.296e+06   ,777.38  ,911.39  ,1281.9
400  ,1.309e+06   ,772.21  ,911.39  ,1281.9
401  ,9.577e+05   ,772.21  ,927.93  ,1281.9
402  ,3.960e+05   ,755.38  ,927.93  ,1281.9
403  ,1.249e+06   ,755.38  ,911.39  ,1281.9
404  ,1.985e+06   ,750.21  ,911.39  ,1281.9
405  ,2.213e+05   ,750.21  ,927.93  ,1281.9
406  ,5.128e+05   ,744.93  ,927.93  ,1281.9
407  ,4.056e+05   ,745.33  ,926.43  ,1281.9
408  ,1.423e+04   ,745.33  ,898.9  ,1281.9
409  ,1.221e+04   ,747.33  ,896.9  ,1281.9
410  ,5.727e+05   ,754.59  ,896.9  ,1281.9
411  ,9.418e+06   ,810.99  ,913.25  ,1281.9
412  ,3.936e+07   ,816.79  ,910.8  ,1281.9
413  ,1.197e+06   ,820.88  ,923.76  ,1281.9
414  ,5.485e+06   ,811.23  ,916.68  ,1281.9
415  ,2.566e+06   ,808.16  ,920.85  ,1281.9
416  ,1.106e+06   ,817.82  ,927.93  ,1281.9
417  ,1.833e+06   ,818.69  ,929.43  ,1289.5
418  ,7.425e+05   ,818.52  ,929.43  ,1283.4
419  ,1.751e+06   ,822.2  ,929.43  ,1290.9
420  ,2.099e+05   ,742.33  ,929.43  ,1283.4
421  ,3.265e+05   ,750.21  ,929.43  ,1283.4
422  ,1.700e+04   ,750.36  ,929.43  ,1291.5
423  ,4.603e+04   ,755.23  ,929.43  ,1291.5
424  ,3.230e+05   ,755.37  ,929.43  ,1283.4
425  ,5.818e+05   ,772.21  ,929.43  ,1283.4
426  ,2.817e+05   ,772.36  ,929.43  ,1291.5
427  ,6.241e+05   ,777.23  ,929.43  ,1291.5
428  ,9.833e+05   ,777.37  ,929.43  ,1283.4
429  ,9.769e+05   ,794.21  ,929.43  ,1283.4
430  ,7.419e+05   ,794.36  ,929.43  ,1291.5
431  ,1.768e+06   ,799.23  ,929.43  ,1291.5
432  ,1.783e+06   ,799.37  ,929.43  ,1283.4
433  ,5.403e+04   ,611.32  ,927.79  ,1303.8
434  ,2.439e+04   ,611.32  ,927.57  ,1303.8
435  ,1.796e+05   ,612.82  ,929.34  ,1305
436  ,3.338e+04   ,612.82  ,927.79  ,1303.8
437  ,2.105e+04   ,612.82  ,927.57  ,1303.8
438  ,1.691e+04   ,628.32  ,921.8  ,1283.7
439  ,2.609e+04   ,628.32  ,926.93  ,1283.7
440  ,5.123e+04   ,628.39  ,927.54  ,1283.7
441  ,3.771e+04   ,626.82  ,927.79  ,1283.7
442  ,5.646e+04   ,626.82  ,927.79  ,1302.2
443  ,1.286e+05   ,619.32  ,928.76  ,1302.2
444  ,1.421e+05   ,619.32  ,928.76  ,1304.3
445  ,2.309e+04   ,626.82  ,925.07  ,1283.7
446  ,8.282e+03   ,626.82  ,925.07  ,1302.2
